afghanistan	2004	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\afghanistan.png
albania	1912	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\albania.png
algeria	1962	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\algeria.png
andorra	1993	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\andorra.png
angola	2003	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\angola.png
antigua and barbuda	1967	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\antigua and barbuda.png
argentina	1812	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\argentina.png
armenia	1990	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\armenia.png
australia	1909	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\australia.png
austria	1191	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\austria.png
azerbaijan	1991	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\azerbaijan.png
bahamas	1973	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bahamas.png
bahrain	2002	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bahrain.png
bangladesh	1972	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bangladesh.png
barbados	1966	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\barbados.png
belarus	1995	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\belarus.png
belgium	1831	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\belgium.png
belize	1981	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\belize.png
benin	1990	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\benin.png
bhutan	1960	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bhutan.png
bolivia	1851	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bolivia.png
bosnia and herzegovina	1998	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bosnia and herzegovina.png
botswana	1966	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\botswana.png
brazil	1889	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\brazil.png
brunei	1984	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\brunei.png
bulgaria	1991	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\bulgaria.png
burkina faso	1984	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\burkina faso.png
burundi	1967	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\burundi.png
cambodia	1993	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\cambodia.png
cameroon	1961	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\cameroon.png
canada	1965	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\canada.png
cape verde	1992	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\cape verde.png
central african republic	1958	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\central african republic.png
chad	1959	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\chad.png
chile	1817	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\chile.png
